emp_no,dept_no,first_name,last_name,title,dept_name,salary
12464,d007,Shai,Milicic,Staff,Sales,50448
12475,d005,Filipe,Roison,Senior Engineer,Development,40000
12487,d002,Mona,Reghbati,Senior Staff,Finance,40000
12489,d005,Arnould,Munck,Senior Engineer,Development,63306
12490,d005,Jackson,Muchinsky,Senior Engineer,Development,40000
12497,d007,Stein,Penz,Senior Staff,Sales,81191
12501,d002,Morrie,Matheson,Senior Staff,Finance,76082
12504,d004,Adly,Rosaz,Engineer,Production,40000
12514,d005,Tomofumi,Melter,Engineer,Development,54241
12528,d009,Conor,Cincotta,Senior Staff,Customer Service,40000
12534,d004,Yongmao,Gerlach,Senior Engineer,Production,66715
12541,d007,Shih,Nanard,Senior Staff,Sales,93105
12542,d003,Kazuhide,Bouloucos,Senior Staff,Human Resources,44176
12551,d004,Jeane,Tzvieli,Senior Engineer,Production,40000
12553,d003,Aral,Vesna,Senior Staff,Human Resources,40000
12557,d004,Stafford,Kopetz,Senior Engineer,Production,41840
12709,d005,Ronghao,Botman,Senior Engineer,Development,45510
12717,d008,Tzu,Jiafu,Staff,Research,53194
12722,d002,Elliott,Cheshire,Senior Staff,Finance,62325
12726,d005,Fumitake,Panwar,Senior Engineer,Development,61177
12729,d009,Nahla,Rahier,Senior Engineer,Customer Service,51796
12731,d003,Yongmao,Waymire,Senior Staff,Human Resources,40000
12732,d007,Mara,Takanami,Senior Staff,Sales,74436
12734,d005,Gil,Frijda,Senior Engineer,Development,40000
12755,d003,Rildo,Rodite,Senior Staff,Human Resources,40196
12773,d005,Jenwei,Lovengreen,Senior Engineer,Development,65556
12790,d007,Gunilla,Perl,Senior Staff,Sales,87760
12795,d002,Masoud,Fordan,Senior Staff,Finance,56969
12798,d007,Lillian,Beeson,Senior Staff,Sales,81145
12803,d001,Gad,Boissier,Senior Staff,Marketing,91789
12815,d008,Sushant,Junot,Senior Staff,Research,65073
12819,d004,Mountaz,Gubsky,Senior Engineer,Production,48455
13030,d001,Yahiko,Kroll,Senior Staff,Marketing,51770
13046,d002,Vivian,Stafford,Senior Staff,Finance,40000
13047,d005,Atilio,Chelton,Senior Engineer,Development,52323
13075,d001,Rosella,Morrin,Senior Staff,Marketing,40000
13076,d005,Deniz,Skafidas,Engineer,Development,50582
13096,d006,Ibibia,Armand,Senior Engineer,Quality Management,52544
13103,d005,Srinidhi,Ellozy,Senior Engineer,Development,40000
13124,d007,Quingbo,Garnick,Senior Staff,Sales,73785
13272,d009,Arun,Jiang,Senior Staff,Customer Service,40000
13276,d002,Yechiam,Seuren,Senior Staff,Finance,65836
13288,d003,Muneo,Broomell,Senior Staff,Human Resources,40000
13291,d005,Georg,Stamatiou,Senior Engineer,Development,54720
13302,d005,Mack,Alencar,Senior Engineer,Development,40000
13315,d005,Sakthirel,Stroustrup,Senior Engineer,Development,40000
13332,d004,Nidapan,Pearson,Senior Engineer,Production,40000
13333,d004,Yoshinari,Hennebert,Engineer,Production,50997
13341,d001,Bodh,Doering,Senior Staff,Marketing,40000
13343,d002,Heon,Usery,Senior Staff,Finance,40000
13368,d003,Kiyokazu,Klassen,Staff,Human Resources,52872
13371,d004,Nakhoon,Riexinger,Senior Engineer,Production,40000
13373,d003,Juichirou,Naumovich,Senior Staff,Human Resources,82749
13385,d003,Claudi,Buchter,Senior Staff,Human Resources,40000
13386,d005,Khosrow,Sgarro,Technique Leader,Development,91420
13389,d008,Divine,Cmelik,Senior Staff,Research,40000
13392,d007,Fumitake,Beidas,Senior Staff,Sales,69221
13396,d009,Chuanyi,Aumann,Senior Staff,Customer Service,40000
13402,d008,Augustine,Dulli,Engineer,Research,40000
13405,d007,Randy,Baba,Senior Staff,Sales,60799
13407,d004,Gio,Chenoweth,Senior Engineer,Production,60348
13408,d004,Sreekrishna,Lagarias,Senior Engineer,Production,52479
13697,d005,Shuichi,Weedon,Technique Leader,Development,40000
13704,d004,Vishu,Kumaresan,Senior Engineer,Production,40000
13721,d007,Sugwoo,Delgrossi,Senior Staff,Sales,64754
13727,d003,Vitali,Merey,Staff,Human Resources,50798
13738,d005,Bangqing,Mitchem,Engineer,Development,48349
13766,d009,Tremaine,Heemskerk,Senior Staff,Customer Service,43748
13769,d007,Yakichi,Trogemann,Senior Staff,Sales,61025
13775,d007,Arve,Maierhofer,Senior Staff,Sales,70161
13786,d007,Takushi,Berendt,Senior Staff,Sales,74494
13787,d004,Xiaobin,Sinicrope,Senior Engineer,Production,40000
13792,d002,Valery,Sury,Senior Staff,Finance,59127
13796,d005,Paloma,Thorelli,Engineer,Development,50962
13809,d009,Kiyotoshi,Basagni,Senior Staff,Customer Service,43735
13815,d004,Guadalupe,Plotkin,Senior Engineer,Production,40000
13825,d004,Arlette,Pell,Technique Leader,Production,54704
13990,d005,Deborah,Schapiro,Engineer,Development,52723
13992,d002,Ulises,Kenevan,Senior Staff,Finance,81318
13999,d003,Florian,Crouzet,Senior Staff,Human Resources,40000
14005,d005,Vojin,Stellhorn,Technique Leader,Development,40000
14015,d006,Manibrata,Picaronny,Senior Engineer,Quality Management,63084
14034,d002,Aloys,Seghrouchni,Senior Staff,Finance,69700
14041,d001,Shan,DeMori,Senior Staff,Marketing,63235
14067,d004,Godehard,Trachtenberg,Senior Engineer,Production,44669
14088,d008,Mori,Leslie,Senior Staff,Research,44821
14107,d001,Xiahua,Rindone,Senior Staff,Marketing,82396
14111,d009,Leszek,Cummings,Senior Staff,Customer Service,52696
14118,d009,Kasturi,Anido,Senior Staff,Customer Service,46248
14422,d004,Toshimo,Gadepally,Senior Engineer,Production,59001
14434,d005,Elvis,Maginnis,Technique Leader,Development,40000
14439,d006,Raimond,Woycyznski,Senior Engineer,Quality Management,80654
14460,d004,Yagil,Lueh,Senior Engineer,Production,56267
10150,d005,Zhenbing,Perng,Senior Engineer,Development,70122
10153,d005,Heekeun,Majewski,Assistant Engineer,Development,54246
10157,d005,Nigel,Aloisi,Senior Engineer,Development,48770
10198,d005,Pranav,Furedi,Senior Engineer,Development,44076
10215,d007,Xiaobin,Duclos,Senior Staff,Sales,43944
10224,d004,Leon,Trogemann,Senior Engineer,Production,40000
10233,d003,Lein,Vendrig,Senior Staff,Human Resources,40000
10258,d005,Basil,Ishibashi,Senior Engineer,Development,66280
10272,d002,Yishai,Cannane,Staff,Finance,58070
10282,d004,Hercules,Benzmuller,Engineer,Production,40000
10283,d005,Kauko,Birjandi,Senior Engineer,Development,40000
10878,d007,Lakshmi,Deville,Staff,Sales,72102
10879,d005,Muzhong,Chleq,Senior Engineer,Development,65651
10883,d004,Shimshon,Champarnaud,Engineer,Production,40000
10909,d005,Georgi,Atchley,Senior Engineer,Development,80935
10921,d004,Mara,Bahi,Senior Engineer,Production,72601
10924,d007,Hironoby,Atchley,Senior Staff,Sales,84783
10927,d001,Gal,Scallan,Senior Staff,Marketing,51819
10936,d003,Mountaz,Schicker,Senior Staff,Human Resources,40000
10943,d005,Berna,Skafidas,Senior Engineer,Development,45890
10965,d007,Eckart,Braunschweig,Senior Staff,Sales,61654
10969,d005,Premal,Noriega,Senior Engineer,Development,40000
10974,d005,Muneo,Papsdorf,Senior Engineer,Development,56005
10986,d005,Masako,Schiper,Technique Leader,Development,43900
10988,d005,Chinya,Deyuan,Senior Engineer,Development,54174
10989,d002,Sumali,Candan,Senior Staff,Finance,46406
10990,d005,Shin,Foote,Technique Leader,Development,40000
11139,d009,Bogdan,Homond,Senior Staff,Customer Service,63596
11146,d007,Ishfaq,Masand,Senior Staff,Sales,96019
11148,d003,Zhanqiu,Botman,Senior Staff,Human Resources,56344
11162,d005,Kauko,Narlikar,Senior Engineer,Development,69873
11180,d005,Mitsuyuki,Bojadziev,Senior Engineer,Development,40000
11197,d007,Tadahiro,Fordan,Senior Staff,Sales,88741
11204,d004,Diederik,Covnot,Technique Leader,Production,40000
11207,d005,Saeed,Gips,Engineer,Development,49728
11208,d004,Saniya,Valtorta,Technique Leader,Production,83660
11211,d004,Yurij,Rissland,Senior Engineer,Production,72668
11217,d004,Kellie,Mawatari,Senior Engineer,Production,40000
11232,d009,Hidefumi,Crelier,Senior Staff,Customer Service,43863
11240,d005,Kiam,Condotta,Engineer,Development,61739
11249,d005,Randi,Cyre,Engineer,Development,43324
11251,d001,Bezalel,Chinal,Senior Staff,Marketing,69432
11268,d004,Aimee,Petersohn,Senior Engineer,Production,40000
11275,d005,Hitomi,Eppinger,Senior Engineer,Development,58382
11441,d007,Marlo,Aingworth,Senior Staff,Sales,67352
11449,d004,Kotesh,Asser,Senior Engineer,Production,61434
11459,d003,Duke,Suomi,Senior Staff,Human Resources,40000
11469,d004,Guttorm,Giaccio,Senior Engineer,Production,44625
11506,d007,Rance,Picel,Staff,Sales,89747
11509,d005,Aleksander,Feldhoffer,Senior Engineer,Development,40000
11513,d002,Otmar,Mahnke,Senior Staff,Finance,82525
11515,d007,Ulf,Basawa,Staff,Sales,70182
11518,d003,Jinxi,Oxman,Senior Staff,Human Resources,40000
11524,d005,Xiadong,Standera,Senior Engineer,Development,41081
11527,d001,Alagu,Boyle,Staff,Marketing,60212
11528,d004,Zito,Dolinsky,Technique Leader,Production,44026
11537,d007,DAIDA,Pehl,Senior Staff,Sales,96023
11554,d001,Subhash,Taubenfeld,Staff,Marketing,46065
11555,d003,Kotesh,Perfilyeva,Senior Staff,Human Resources,40000
11732,d009,Sanjoy,Ranft,Senior Engineer,Customer Service,40000
11735,d009,Amalendu,Picci,Senior Staff,Customer Service,40000
11746,d007,Koichi,Marrakchi,Senior Staff,Sales,55951
11751,d008,Jiafu,Emiris,Senior Staff,Research,40000
11764,d004,Sanjay,Anick,Senior Engineer,Production,64875
11769,d005,Chandrasekaran,Lampe,Senior Staff,Development,40000
11772,d005,Gaurav,Penz,Engineer,Development,61295
11797,d001,Chenxi,Thambidurai,Senior Staff,Marketing,88050
11810,d005,Amabile,Bhattacharjee,Senior Engineer,Development,41256
11817,d007,Niranjan,Markovitch,Senior Staff,Sales,50638
11832,d005,Arto,Zlotek,Engineer,Development,40000
11844,d005,Shawna,Demeyer,Senior Engineer,Development,78049
11993,d003,Marit,Dalphin,Senior Staff,Human Resources,56505
12011,d007,Zhilian,Coorg,Senior Staff,Sales,85833
12036,d007,Mads,Ratzlaff,Senior Staff,Sales,67143
12037,d009,Arunas,Katzenelson,Senior Staff,Customer Service,47805
12050,d004,Yuchang,Tchuente,Engineer,Production,46704
12062,d003,Margareta,Worfolk,Senior Staff,Human Resources,44199
12069,d005,Ayonca,Burnard,Senior Engineer,Development,51928
12070,d005,Ger,Shokrollahi,Technique Leader,Development,50233
12076,d007,Karlis,Siprelle,Senior Staff,Sales,75381
12082,d007,Xinan,Yamaashi,Senior Staff,Sales,72118
12089,d003,Bilhanan,Socorro,Senior Staff,Human Resources,46288
12099,d007,Nobuyoshi,Kuzuoka,Senior Staff,Sales,104610
12112,d002,Satyanarayana,Avouris,Senior Staff,Finance,76538
12122,d004,Satoru,Krone,Senior Engineer,Production,46398
12123,d008,Xiahua,Syrzycki,Senior Staff,Research,64879
12125,d004,Shounak,Erman,Engineer,Production,41215
12308,d003,Mototsugu,Cronau,Senior Staff,Human Resources,58741
12311,d005,Susanne,Lubachevsky,Senior Engineer,Development,40000
12327,d005,DAIDA,Bruckman,Senior Engineer,Development,67449
12341,d005,Rasiah,Luga,Senior Engineer,Development,40000
12343,d004,Sorina,Slaats,Senior Staff,Production,52134
12365,d004,Kamakshi,Bisiani,Senior Engineer,Production,40000
12373,d007,Mooi,Driscoll,Senior Staff,Sales,75986
12395,d002,Sanjit,Felder,Senior Staff,Finance,66909
12399,d007,Mihalis,Luga,Senior Staff,Sales,85582
12411,d007,Shao,Ibel,Senior Staff,Sales,97610
12413,d004,Hugh,Gadepally,Senior Engineer,Production,53179
12589,d005,Anoosh,Chleq,Senior Engineer,Development,59441
12596,d003,Breannda,Roisin,Senior Staff,Human Resources,40000
12601,d005,Ghassan,Simkin,Senior Engineer,Development,41714
12608,d003,Nectarios,Mondadori,Senior Staff,Human Resources,40000
12635,d009,Xinyu,Restivo,Senior Engineer,Customer Service,40000
12638,d005,Yuqun,Seiwald,Engineer,Development,56677
12642,d001,Suebskul,Gips,Senior Staff,Marketing,68271
12651,d007,Pragnesh,Bael,Senior Staff,Sales,75150
12662,d005,Leucio,Alvarado,Engineer,Development,69016
12663,d005,Nobuyoshi,Stellhorn,Technique Leader,Development,49966
12664,d009,Zhonghua,Parveen,Staff,Customer Service,40000
12689,d005,Luerbio,Boudaillier,Senior Engineer,Development,59689
12691,d004,Oddvar,Gils,Senior Engineer,Production,48493
12697,d003,Uri,Brizzi,Senior Staff,Human Resources,40000
12848,d005,Kazuhide,Smeets,Engineer,Development,40000
12863,d004,Leif,Matheson,Senior Engineer,Production,62803
12872,d007,Marl,Schmittgen,Senior Staff,Sales,56040
12879,d005,Baruch,Eugenio,Senior Engineer,Development,40000
12890,d007,Neven,Casley,Senior Staff,Sales,66803
12893,d007,Licheng,Crouzet,Senior Staff,Sales,50803
12895,d004,Roddy,Serot,Senior Engineer,Production,40000
12905,d005,Munehiro,Gecsei,Senior Engineer,Development,58659
12926,d008,Heekeun,Luby,Senior Staff,Research,68314
12940,d005,Odinaldo,Farrar,Senior Engineer,Development,49760
12941,d005,Tommaso,Perelgut,Senior Engineer,Development,67069
12949,d005,Geoff,Asrin,Senior Engineer,Development,40000
12977,d005,Byong,Markovitch,Senior Engineer,Development,61326
12983,d002,Elliott,Hambrick,Staff,Finance,57252
13133,d009,Guther,Senzako,Senior Staff,Customer Service,67777
13134,d004,Lorien,Chepyzhov,Senior Engineer,Production,51227
13144,d002,Persi,Nollmann,Senior Staff,Finance,52825
13146,d007,Haldon,Erie,Senior Staff,Sales,61398
13147,d007,Shichao,Ginesta,Senior Staff,Sales,77429
13156,d005,Akeel,Millington,Senior Engineer,Development,48285
13165,d006,Lucian,Benner,Senior Engineer,Quality Management,42796
13168,d004,Munir,Stentiford,Senior Engineer,Production,49210
13170,d003,Cheong,Bernardeschi,Senior Staff,Human Resources,49012
13171,d006,Anoosh,Birnbaum,Senior Engineer,Quality Management,40000
13173,d007,Arve,Horswill,Senior Staff,Sales,46354
13179,d007,Moty,Janocha,Staff,Sales,90233
13182,d004,Kokou,Rodite,Engineer,Production,46832
13186,d007,Kyoichi,Barbanera,Senior Staff,Sales,93138
13192,d004,Rosita,Flowers,Technique Leader,Production,43986
13202,d008,Aram,Scharstein,Senior Staff,Research,51915
13210,d001,Jianhua,Klassen,Senior Staff,Marketing,83961
13213,d007,Hein,Billawala,Senior Staff,Sales,61131
13232,d005,Mitchel,Fujisaki,Technique Leader,Development,40000
13233,d005,Alselm,Chvatal,Senior Engineer,Development,49414
13238,d007,Ebru,Foote,Senior Staff,Sales,40000
13240,d005,King,Pileggi,Senior Engineer,Development,49018
13250,d004,Zeydy,Schusler,Senior Engineer,Production,47829
13415,d006,Nathalie,Speer,Technique Leader,Quality Management,61838
13422,d006,Vishwani,Gerlach,Senior Engineer,Quality Management,59466
13442,d003,Giordano,Miake,Senior Staff,Human Resources,40000
13443,d006,Mayuko,Puppo,Senior Engineer,Quality Management,40000
13445,d004,Renee,Dehkordi,Engineer,Production,53194
13451,d003,Gretta,Weiland,Senior Staff,Human Resources,40000
13457,d006,Shooichi,Parfitt,Senior Engineer,Quality Management,40812
13458,d009,Feipei,Nivat,Senior Engineer,Customer Service,41375
13463,d004,Theron,Berstel,Senior Engineer,Production,40000
13465,d004,Sasan,Rehfuss,Engineer,Production,49821
13493,d005,Uinam,Jullig,Senior Engineer,Development,40000
13504,d005,Parto,Mandell,Engineer,Development,41895
13524,d007,Chaoyi,Porotnikoff,Senior Staff,Sales,52849
13535,d004,Arunas,Schlenzig,Senior Engineer,Production,40000
13546,d004,Aimee,Brookner,Senior Engineer,Production,50295
13549,d005,Matk,Koprowski,Technique Leader,Development,40000
13552,d008,Ingmar,Capobianchi,Senior Staff,Research,73346
13576,d005,Jungsoon,Engberts,Senior Staff,Development,73022
13605,d007,Dmitry,Encarnacion,Senior Staff,Sales,70404
13621,d005,Fei,Haddadi,Engineer,Development,73192
13624,d003,Zhigen,Yurek,Senior Staff,Human Resources,40000
13629,d005,Dzung,Trelles,Senior Engineer,Development,40000
13648,d004,Zejun,Lamba,Technique Leader,Production,47723
13653,d003,Kristen,Iivonen,Senior Staff,Human Resources,53242
13670,d005,Moti,Takanami,Senior Engineer,Development,40000
13680,d007,Denny,Speer,Staff,Sales,46968
13685,d005,Weicheng,Hockney,Senior Engineer,Development,48322
13841,d006,Christophe,Spinelli,Technique Leader,Quality Management,52277
13842,d008,Juichirou,Cichocki,Senior Staff,Research,40000
13846,d008,Guiseppe,Welham,Senior Staff,Research,61097
13853,d008,Mingsen,Roohalamini,Senior Staff,Research,61615
13859,d005,Anoosh,Fujisawa,Senior Engineer,Development,40000
13884,d004,Kensei,Swift,Engineer,Production,44785
13894,d004,Ult,Schonegge,Engineer,Production,48958
13904,d005,Youngkon,Cairo,Senior Engineer,Development,73885
13934,d005,Shiv,Bratsberg,Senior Engineer,Development,46507
13942,d005,Elzbieta,Esteva,Technique Leader,Development,40000
13951,d007,Mooi,Genther,Senior Staff,Sales,82054
13960,d002,Nechama,Hettesheimer,Senior Staff,Finance,43204
13962,d004,Maris,Ghelli,Senior Engineer,Production,67965
13966,d009,Boguslaw,Cooman,Senior Staff,Customer Service,40000
13969,d005,Jianwen,Chandrasekhar,Technique Leader,Development,60392
14167,d004,Adas,Hertweck,Senior Engineer,Production,40000
14191,d005,Jiann,Luby,Senior Engineer,Development,40155
14209,d008,Masanao,Kusakabe,Senior Staff,Research,40000
14220,d004,Tomofumi,Pargas,Senior Engineer,Production,68017
14232,d005,Masali,Bojadziev,Senior Engineer,Development,50568
14236,d008,Xuedong,Angiulli,Senior Staff,Research,40000
14237,d009,Abdulla,Gerlach,Senior Engineer,Customer Service,57219
14242,d009,Sudhanshu,Benaini,Senior Staff,Customer Service,40000
14257,d004,Kwok,Massonet,Staff,Production,40000
14290,d004,Miyeon,Olivero,Senior Engineer,Production,78736
